id_card,card,service,image,region_id,tel,web,nom
1,AAR Aircraft Services - Trois Rivières,Maintenance et révision d'avions,specimen.png,10,(819) 377-4500,https://www.aarcorp.com/,Brian Loomer
2,ABB,Produits d'énergie et d'automation,abb.png,1,1 800 435 7365,https://new.abb.com/ca/,Nathalie Pilon
3,ABS (Groupe),"Surveillance et contrôle de travaux, science du bâtiment, géotechnique",abs.png,2,418-210-0243,http://www.groupeabs.com/,Daniel Mercier
4,ADF (Groupe),"Ingénierie, conception de charpentes métalliques",adf.png,9,(450) 965-1911,https://adfgroup.com,Pierre Paschini
5,ADP Canada,Société d'impartion en ressources humaines et avantages sociaux,specimen.png,1,866 622-8153,https://www.adp.ca,Holger Kormann
6,AECOM,Services techniques en ingénierie,specimen.png,1,-,-,Michael S. Burke
7,AGF (Groupe),Fabrication d'acier d'armature et échafaudages,agf.png,4,450 442-9494,https://www.groupeagf.com/fr/groupe/succursales/acier-agf-inc-siege-social-longueuil,Serge Gendron
8,AIM - Fer & Métaux Américains,Recyclage de métaux et transformation de matières industrielles,aim.png,1,(514) 494-2000,https://aim-global.com/fr,Herbert Black
9,ALDO (Le Groupe),Détaillant de chaussures et d'accessoires,specimen.png,1,1-800-326-2536,https://www.aldoshoes.com/,David Bensadoun
10,Acier Picard (Groupe),Distributeur d'acier,specimen.png,1,-,-,Gaétan Picard
11,Adèle Plus,Services d'entretien ménager,adele.png,1,450-934-6255,https://www.adeleplus.com/,Gaétan Migneault
12,Agri-Marché,"Alimentation animale, secteurs porcin, avicole et laitier",specimen.png,1,-,-,Patrice Brochu
13,Agritex (Groupe),Distributeur d'équipements agricoles,agritex.png,4,819 474-0002,https://agritex.ca/succursales/drummondville,Patrick Allard
14,Agropur coopérative,Transformation et distribution de produits laitiers,agropur.png,4,(418) 641-0857,https://www.agropur.com,Robert Coallier
15,Air Canada,Transport de passagers et de marchandises,air_canada.png,1,1-514-395-0300,https://www.aircanada.com/,Calin Rovinescu
16,Air Liquide Canada,"Gaz industriels, médicaux et spéciaux",specimen.png,1,-,-,Bertrand Masselot
17,Albi le Géant (Groupe),Détaillant d'automobiles neuves et d'occasion,specimen.png,1,-,-,Denis Leclerc
18,Alfid Services Immobiliers,"Immobilier, courtage, construction et sécurité",specimen.png,1,-,-,Jean-Jacques Laurans
19,Alimentation Couche-Tard,Réseau de dépanneurs,specimen.png,1,-,-,Brian Hannasch
20,Aliments Asta,Transformation porcine,specimen.png,1,-,-,Jacques Poitras
21,Aliments BCI,Fabrication de produits alimentaires,specimen.png,1,-,-,Gille Barbeau
22,Aliments I-D,Grossiste-distributeur de produits alimentaires,specimen.png,1,-,-,Philip Issenman
23,Aliments Krispy Kernels,"Transformation et distribution d'arachides, noix et croustilles",krispy_kernel.png,1,1-877-791-9986,https://krispykernels.com/fr/,Valérie Jalbert
24,Aliments Lesters,"Transformation de la viande, charcuterie et viandes fumées",specimen.png,1,-,-,Henry Mizrahi
25,Aliments McCain (Les),Production d'aliments congelés et transport,specimen.png,1,-,-,Max Koeune
26,Aliments naturels Tau,Épiceries d'aliments naturels et biologiques,specimen.png,1,-,-,Robbie Brown
27,Alithya,Services-conseils en gestion des organisations et TI,specimen.png,1,-,-,Paul Raymond
28,Allen Entrepreneur Général,Entrepreneur général en construction,specimen.png,1,-,-,Annie Allen
29,Altasciences,Recherche contractuelle et analyses biopharmaceutiques,specimen.png,1,-,-,Chris Perkin
30,Aluminerie Alouette,Aluminium de première fusion,specimen.png,1,-,-,Patrice L'Huillier
31,Ameublement Elran,"Fabrication de canapés, causeuses et chaises inclinables",specimen.png,1,-,-,Sheldon Lubin
32,Anixter,"Distributeur de produits de communication et de sécurité, câblages",specimen.png,1,-,-,Gary Mistak
33,Annexair,Fabrication et conception d'équipements de traitement de l'air,specimen.png,1,-,-,François Lemieux
34,Aon,Experts-conseils en capital humain,specimen.png,1,-,-,Allan Shapira
35,ArcelorMittal Exploitation minière Canada,"Minerai de fer, acier long et plat",specimen.png,1,-,-,Jean Ouellet
36,ArcelorMittal Produits longs Canada,Fabrication de produits semi-finis en acier,specimen.png,1,-,-,François Perras
37,Armatures Bois-Francs,Fabrication d'acier d'armature et de treillis métalliques,specimen.png,1,-,-,Éric Bernier
38,Armoires Cuisines Action,Fabrication d'armoires de cuisine et comptoirs de salle de bain,specimen.png,1,-,-,Christian Van Gennip
39,Arno (Groupe),Entrepreneur en électricité industrielle,specimen.png,1,-,-,Louis St-Arnaud
